"motor","car","cola","electric","price","infla","M2SL","cpi_f"
0.25,0,0.5,0.178571428571429,0.0740740740740741,0.181818181818182,0,0.306481481481482
0,0.111111111111111,0,0.214285714285714,0.0185185185185185,0.363636363636364,0.00646906519018944,0.214814814814815
0,0.333333333333333,0.5,0.178571428571429,0.037037037037037,0.272727272727273,0.0165839879901662,0.135185185185185
0,0.111111111111111,0.5,0.142857142857143,0.0185185185185185,0.181818181818182,0.0183715239648405,0.0546296296296296
0,0.444444444444444,0.5,0.25,0.0925925925925926,0.363636363636364,0.0433472207239481,0.0194444444444445
0.25,0.222222222222222,0.5,0.178571428571429,0.0925925925925926,0.363636363636364,0.0305869361883381,0.0111111111111112
0,0.111111111111111,0,0.142857142857143,0.0925925925925926,0.545454545454545,0.0362335644940047,0.0194444444444445
0,0.222222222222222,0,0.142857142857143,0.0555555555555556,0.181818181818182,0.0322166838608434,0.0240740740740741
0.25,0.111111111111111,0,0.107142857142857,0.037037037037037,0.272727272727273,0.0574244195344547,0.0222222222222222
0,0.111111111111111,0,0.107142857142857,0,0.272727272727273,0.0747219173202337,0.0240740740740741
0,0.222222222222222,0.5,0.0714285714285714,0.111111111111111,0.181818181818182,0.0540731647869881,0.0388888888888889
0,0.333333333333333,0,0.0357142857142857,0.148148148148148,0,0.111624057222263,0.0324074074074074
0.25,0.444444444444444,0,0.142857142857143,0.148148148148148,0.0909090909090909,0.100931301575544,0.0268518518518519
0,0.222222222222222,0,0.107142857142857,0.0740740740740741,0,0.0928638821115592,0.0212962962962963
0.25,0.333333333333333,0,0.178571428571429,0.0925925925925926,0.181818181818182,0.103221910465452,0.0324074074074074
0.25,0.222222222222222,0.5,0.214285714285714,0.259259259259259,0.272727272727273,0.129986508332771,0.0351851851851853
0.25,0.555555555555556,0,0.285714285714286,0.277777777777778,0.363636363636364,0.138406501748457,0.0185185185185186
0.5,0.555555555555556,0,0.25,0.314814814814815,0.454545454545455,0.141466250524219,0.0055555555555556
0.5,0.555555555555556,0,0.178571428571429,0.333333333333333,0.454545454545455,0.155064155909901,0
0.5,0.666666666666667,0,0.142857142857143,0.333333333333333,0.0909090909090909,0.129172522480301,0.0203703703703704
0.5,0.444444444444444,0,0.178571428571429,0.407407407407407,0.454545454545455,0.133239825711683,0.0546296296296296
0.5,0.555555555555556,0,0.178571428571429,0.407407407407407,0.454545454545455,0.138337822016769,0.0768518518518519
0.5,0.444444444444444,0,0.178571428571429,0.425925925925926,0.272727272727273,0.160032631666125,0.088888888888889
0.25,0.555555555555556,0,0.142857142857143,0.388888888888889,0,0.173253452519225,0.102777777777778
0.5,0.555555555555556,0,0.178571428571429,0.425925925925926,0.181818181818182,0.185804410828123,0.109259259259259
0.5,0.444444444444444,0,0.285714285714286,0.37037037037037,0.272727272727273,0.206902667185757,0.114814814814815
0.25,0.444444444444444,1,0.178571428571429,0.407407407407407,0.272727272727273,0.25329699068935,0.122222222222222
0.5,0.555555555555556,0.5,0.142857142857143,0.462962962962963,0,0.28738445347813,0.127777777777778
1,0.888888888888889,0.5,0.142857142857143,0.740740740740741,0,0.314725865194409,0.142592592592593
0.75,0.777777777777778,0,0.142857142857143,0.777777777777778,0,0.31020991898509,0.166666666666667
0.75,0.777777777777778,0,0.0714285714285714,0.648148148148148,0.0909090909090909,0.33694483831734,0.203703703703704
0.75,0.666666666666667,0,0.0714285714285714,0.759259259259259,0.0909090909090909,0.370201966719205,0.249074074074074
0.75,0.777777777777778,0,0.178571428571429,0.759259259259259,0.0909090909090909,0.395465174331726,0.297222222222222
0.5,0.444444444444444,0,0.0714285714285714,0.5,0.0909090909090909,0.422916533572437,0.358333333333333
0.75,0.555555555555556,0,0.107142857142857,0.703703703703704,0.181818181818182,0.451261975485691,0.437962962962963
0.5,0.666666666666667,0,0.0357142857142857,0.833333333333333,0.0909090909090909,0.498386760810445,0.50462962962963
0.75,0.666666666666667,0,0.107142857142857,0.833333333333333,0,0.48816499168987,0.584259259259259
0.5,0.666666666666667,0,0.178571428571429,0.62962962962963,0.363636363636364,0.508111321195266,0.662037037037037
0.75,0.666666666666667,0,0.214285714285714,0.666666666666667,0.545454545454545,0.514896931666698,0.657407407407407
0.5,0.555555555555556,0,0.142857142857143,0.685185185185185,0.363636363636364,0.521178495154469,0.639814814814815
0.5,0.555555555555556,0,0.178571428571429,0.685185185185185,0.363636363636364,0.529445433306012,0.623148148148148
0.5,0.666666666666667,0.5,0.285714285714286,0.62962962962963,0.545454545454545,0.53555869897621,0.588888888888889
0.75,0.888888888888889,0,0.25,0.62962962962963,0.545454545454545,0.566847627948889,0.55462962962963
0.75,0.777777777777778,0,0.178571428571429,0.62962962962963,0.272727272727273,0.605542086465627,0.519444444444444
0.5,0.666666666666667,0,0.142857142857143,0.62962962962963,0.363636363636364,0.592570441302089,0.460185185185185
0.5,0.555555555555556,0,0.107142857142857,0.611111111111111,0.454545454545455,0.62941878782593,0.405555555555556
0.5,0.555555555555556,0,0.142857142857143,0.703703703703704,0.363636363636364,0.669880758202183,0.426851851851852
0.5,0.555555555555556,0,0,0.592592592592593,0.181818181818182,0.736123786550932,0.424074074074074
0.75,1,0.5,0.214285714285714,0.888888888888889,0.545454545454545,0.759346586071282,0.433333333333333
0.75,1,0.5,0.321428571428571,0.814814814814815,0.545454545454545,0.746772846422535,0.453703703703704
0.75,1,0.5,0.285714285714286,1,0.636363636363636,0.780005041548141,0.537037037037037
0.75,1,0.5,0.178571428571429,0.925925925925926,0.454545454545455,0.833299857728572,0.619444444444445
1,0.777777777777778,0.5,0.285714285714286,0.888888888888889,0.636363636363636,0.882429614104792,0.701851851851852
0.75,0.777777777777778,0.5,0.321428571428571,0.87037037037037,0.909090909090909,0.896229759818671,0.798148148148148
1,0.888888888888889,0.5,0.214285714285714,0.981481481481482,1,0.874406557167559,0.87962962962963
0.75,0.777777777777778,0.5,0.571428571428571,0.796296296296296,0.727272727272727,0.911268679031796,0.902777777777778
0.75,1,1,1,0.851851851851852,0.727272727272727,0.911843242818632,0.932407407407407
0.75,0.777777777777778,0.5,0.5,0.777777777777778,0.727272727272727,0.958458281601404,0.967592592592592
0.5,0.666666666666667,0.5,0.357142857142857,0.740740740740741,0.818181818181818,1,0.955555555555555
0.5,0.777777777777778,0.5,0.285714285714286,0.907407407407407,0.545454545454545,0.998663507668585,1
